size,threads,time_ms,operations,ops_per_sec_M
200,1,3.99995,16000000,4000.05
size,threads,time_ms,operations,ops_per_sec_M
200,2,6.00004,16000000,2666.65
size,threads,time_ms,operations,ops_per_sec_M
200,4,4.99988,16000000,3200.08
size,threads,time_ms,operations,ops_per_sec_M
200,8,5.00011,16000000,3199.93
size,threads,time_ms,operations,ops_per_sec_M
400,1,34.9998,128000000,3657.16
size,threads,time_ms,operations,ops_per_sec_M
400,2,22.0001,128000000,5818.16
size,threads,time_ms,operations,ops_per_sec_M
400,4,23,128000000,5565.22
size,threads,time_ms,operations,ops_per_sec_M
400,8,17,128000000,7529.43
size,threads,time_ms,operations,ops_per_sec_M
800,1,392,1024000000,2612.25
size,threads,time_ms,operations,ops_per_sec_M
800,2,212,1024000000,4830.19
size,threads,time_ms,operations,ops_per_sec_M
800,4,161,1024000000,6360.25
size,threads,time_ms,operations,ops_per_sec_M
800,8,120,1024000000,8533.32
size,threads,time_ms,operations,ops_per_sec_M
1200,1,1295,3456000000,2668.73
size,threads,time_ms,operations,ops_per_sec_M
1200,2,669,3456000000,5165.92
size,threads,time_ms,operations,ops_per_sec_M
1200,4,519,3456000000,6658.96
size,threads,time_ms,operations,ops_per_sec_M
1200,8,314,3456000000,11006.4
size,threads,time_ms,operations,ops_per_sec_M
1600,1,3053,8192000000,2683.26
size,threads,time_ms,operations,ops_per_sec_M
1600,2,1600,8192000000,5120
size,threads,time_ms,operations,ops_per_sec_M
1600,4,1331,8192000000,6154.77
size,threads,time_ms,operations,ops_per_sec_M
1600,8,759,8192000000,10793.1
size,threads,time_ms,operations,ops_per_sec_M
2000,1,6140,16000000000,2605.86
size,threads,time_ms,operations,ops_per_sec_M
2000,2,4426,16000000000,3615
size,threads,time_ms,operations,ops_per_sec_M
2000,4,2717,16000000000,5888.85
size,threads,time_ms,operations,ops_per_sec_M
2000,8,1937,16000000000,8260.2
